"","dataword","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"421","puncak",0,0,0,0,0,0,0,0,0,0
"422","merapi",0,0,0,0,0,0,0,0,0,0
"423","dikelilingi",0,0,0,0,0,0,0,0,0,0
"424","wisata",0,0,0,0,0,0,0,0,0,0
"425","wajib",0,0,0,0,0,0,0,0,0,0
"426","dikunjungi",0,0,0,0,0,0,0,0,0,0
"427","stonehenge",0,0,0,0,0,0,0,0,0,0
"428","merapi",0,0,0,0,0,0,0,0,0,0
"429","yg",0,0,0,0,0,0,0,0,0,0
"430","instagramable",0,0,0,0,0,0,0,0,0,0
"431","orang",0,0,0,0,0,0,0,0,0,0
"432","bilang",0,0,0,0,0,0,0,0,0,0
"433","lengkap",0,0,0,0,0,0,0,0,0,0
"434","kalo",0,0,0,0,0,0,0,0,0,0
"435","jogja",0,0,0,0,0,0,0,0,0,0
"436","merapi",0,0,0,0,0,0,0,0,0,0
"437","langsung",0,0,0,0,0,0,0,0,0,0
"438","meluncur",0,0,0,0,0,0,0,0,0,0
"439","kaliurang",0,0,0,0,0,0,0,0,0,0
"440","mencari",0,0,0,0,0,0,0,0,0,0
"441","sewa",0,0,0,0,0,0,0,0,0,0
"442","jeep",0,0,0,0,0,0,0,0,0,0
"443","lava",1,0,0,1,0,0,0,0,1,0
"444","tour",0,0,0,0,0,0,0,0,0,0
"445","sewa",0,0,0,0,0,0,0,0,0,0
"446","jeep",0,0,0,0,0,0,0,0,0,0
"447","jam",0,0,0,0,0,0,0,0,0,1
"448","pemiliknya",0,0,0,0,0,0,0,0,0,0
"449","jeep",0,0,0,0,0,0,0,0,0,0
"450","full",0,0,0,0,0,0,0,0,0,1
"451","pagi",0,0,0,0,0,0,0,0,0,0
"452","jam",0,0,0,0,0,0,0,0,0,1
"453","musim",0,0,0,0,0,0,0,0,0,0
"454","liburan",0,0,0,0,0,0,0,0,0,0
"455","manamana",0,0,0,0,0,0,0,0,0,0
